1,1,851.0,5.0,851.0,5.0
1,2,845.0,26.0,844.0,25.0
1,3,870.0,30.0,870.0,29.0
1,4,888.0,30.0,887.0,30.0
1,5,838.0,50.0,838.0,50.0
1,6,793.0,54.0,793.0,54.0
1,7,847.0,80.0,847.0,81.0
1,8,783.0,88.0,783.0,88.0
1,9,834.0,89.0,834.0,89.0
1,10,867.0,93.0,867.0,92.0
1,11,835.0,103.0,835.0,103.0
1,12,850.0,107.0,850.0,108.0
1,13,663.0,114.0,663.0,115.0
1,14,865.0,118.0,865.0,117.0
1,15,884.0,119.0,884.0,119.0
1,16,783.0,123.0,783.0,123.0
1,17,664.0,127.0,664.0,127.0
1,18,865.0,135.0,865.0,135.0
1,19,844.0,146.0,844.0,148.0
1,20,866.0,155.0,866.0,154.0
1,21,750.0,159.0,750.0,159.0
1,22,894.0,160.0,894.0,160.0
1,23,785.0,169.0,785.0,169.0
1,24,904.0,168.0,904.0,168.0
1,25,865.0,172.0,865.0,172.0
1,26,878.0,176.0,878.0,176.0
1,27,839.0,179.0,839.0,181.0
1,28,919.0,180.0,919.0,180.0
1,29,931.0,188.0,931.0,188.0
1,30,1019.0,191.0,1019.0,191.0
1,31,788.0,202.0,788.0,202.0
1,32,933.0,205.0,933.0,205.0
1,33,835.0,227.0,835.0,227.0
1,34,1037.0,233.0,1037.0,235.0
1,35,832.0,239.0,832.0,239.0
1,36,868.0,240.0,868.0,240.0
1,37,853.0,247.0,853.0,247.0
1,38,1016.0,252.0,1016.0,252.0
1,39,840.0,258.0,840.0,258.0
1,40,875.0,262.0,877.0,262.0
1,41,1041.0,267.0,1041.0,269.0
1,42,861.0,271.0,861.0,271.0
1,43,838.0,274.0,838.0,275.0
1,44,825.0,284.0,825.0,284.0
1,45,879.0,287.0,879.0,287.0
1,46,860.0,290.0,860.0,289.0
1,47,808.0,292.0,808.0,292.0
1,48,1029.0,301.0,1029.0,303.0
1,49,1043.0,301.0,1043.0,301.0
1,50,875.0,304.0,876.0,304.0
1,51,826.0,309.0,826.0,309.0
